paleta;nome_cor;codigo_hexadecimal;codigo_rgb;codigo_cmyk
"PANTONE";"7644 C";"#582D40";"88,45,64";"0,49,27,65"
"PANTONE";"7645 C";"#502B3A";"80,43,58";"0,46,28,69"
"PANTONE";"223 C";"#EF95CF";"239,149,207";"0,38,13,6"
"PANTONE";"224 C";"#EB6FBD";"235,111,189";"0,53,20,8"
"PANTONE";"225 C";"#DF1995";"223,25,149";"0,89,33,13"
"PANTONE";"226 C";"#D00070";"208,0,112";"0,100,46,18"
"PANTONE";"227 C";"#AA0061";"170,0,97";"0,100,43,33"
"PANTONE";"228 C";"#890C58";"137,12,88";"0,91,36,46"
"PANTONE";"229 C";"#672146";"103,33,70";"0,68,32,60"
"PANTONE";"230 C";"#F4A6D7";"244,166,215";"0,32,12,4"
"PANTONE";"231 C";"#F277C6";"242,119,198";"0,51,18,5"
"PANTONE";"232 C";"#E93CAC";"233,60,172";"0,74,26,9"
"PANTONE";"233 C";"#C6007E";"198,0,126";"0,100,36,22"
"PANTONE";"234 C";"#A20067";"162,0,103";"0,100,36,36"
"PANTONE";"235 C";"#840B55";"132,11,85";"0,92,36,48"
"PANTONE";"670 C";"#EAD3E2";"234,211,226";"0,10,3,8"
"PANTONE";"671 C";"#E6BCD7";"230,188,215";"0,18,7,10"
"PANTONE";"672 C";"#DFA0C9";"223,160,201";"0,28,10,13"
"PANTONE";"673 C";"#D986BA";"217,134,186";"0,38,14,15"
"PANTONE";"674 C";"#C7579A";"199,87,154";"0,56,23,22"
"PANTONE";"675 C";"#AE2573";"174,37,115";"0,79,34,32"
"PANTONE";"676 C";"#960051";"150,0,81";"0,100,46,41"
"PANTONE";"677 C";"#E5CEDB";"229,206,219";"0,10,4,10"
"PANTONE";"678 C";"#E3C8D8";"227,200,216";"0,12,5,11"
"PANTONE";"679 C";"#DEBED2";"222,190,210";"0,14,5,13"
"PANTONE";"680 C";"#C996B6";"201,150,182";"0,25,9,21"
"PANTONE";"681 C";"#B06C95";"176,108,149";"0,39,15,31"
"PANTONE";"682 C";"#994878";"153,72,120";"0,53,22,40"
"PANTONE";"683 C";"#7C2855";"124,40,85";"0,68,31,51"
"PANTONE";"684 C";"#E4C6D4";"228,198,212";"0,13,7,11"
"PANTONE";"685 C";"#DCB6C9";"220,182,201";"0,17,9,14"
"PANTONE";"686 C";"#D0A1BA";"208,161,186";"0,23,11,18"
"PANTONE";"687 C";"#BE84A3";"190,132,163";"0,31,14,25"
"PANTONE";"688 C";"#A76389";"167,99,137";"0,41,18,35"
"PANTONE";"689 C";"#893B67";"137,59,103";"0,57,25,46"
"PANTONE";"690 C";"#612141";"97,33,65";"0,66,33,62"
"PANTONE";"510 C";"#EBBECB";"235,190,203";"0,19,14,8"
"PANTONE";"509 C";"#E8B3C3";"232,179,195";"0,23,16,9"
"PANTONE";"508 C";"#E4A9BB";"228,169,187";"0,26,18,11"
"PANTONE";"507 C";"#D592AA";"213,146,170";"0,31,20,16"
"PANTONE";"506 C";"#84344E";"132,52,78";"0,61,41,48"
"PANTONE";"505 C";"#6F2C3F";"111,44,63";"0,60,43,56"
"PANTONE";"504 C";"#572932";"87,41,50";"0,53,43,66"
"PANTONE";"7429 C";"#E2BCCB";"226,188,203";"0,17,10,11"
"PANTONE";"7430 C";"#DCA9BF";"220,169,191";"0,23,13,14"
"PANTONE";"7431 C";"#C9809E";"201,128,158";"0,36,21,21"
"PANTONE";"7432 C";"#B55C80";"181,92,128";"0,49,29,29"
"PANTONE";"7433 C";"#A73A64";"167,58,100";"0,65,40,35"
"PANTONE";"7434 C";"#9B3359";"155,51,89";"0,67,43,39"
"PANTONE";"7435 C";"#872651";"135,38,81";"0,72,40,47"
"PANTONE";"691 C";"#E9CDD0";"233,205,208";"0,12,11,9"
"PANTONE";"692 C";"#E3BEC3";"227,190,195";"0,16,14,11"
"PANTONE";"693 C";"#D7A3AB";"215,163,171";"0,24,20,16"
"PANTONE";"694 C";"#C48490";"196,132,144";"0,33,27,23"
"PANTONE";"695 C";"#B46B7A";"180,107,122";"0,41,32,29"
"PANTONE";"696 C";"#984857";"152,72,87";"0,53,43,40"
"PANTONE";"697 C";"#893C47";"137,60,71";"0,56,48,46"
"PANTONE";"496 C";"#F2C6CF";"242,198,207";"0,18,14,5"
"PANTONE";"495 C";"#F1BDC8";"241,189,200";"0,22,17,5"
"PANTONE";"494 C";"#E9A2B2";"233,162,178";"0,30,24,9"
"PANTONE";"493 C";"#DC8699";"220,134,153";"0,39,30,14"
"PANTONE";"492 C";"#8F3237";"143,50,55";"0,65,62,44"
"PANTONE";"491 C";"#7F3035";"127,48,53";"0,62,58,50"
"PANTONE";"490 C";"#5D2A2C";"93,42,44";"0,55,53,64"
"PANTONE";"503 C";"#E9C5C7";"233,197,199";"0,15,15,9"
"PANTONE";"502 C";"#E5BAC1";"229,186,193";"0,19,16,10"
"PANTONE";"501 C";"#DAA5AD";"218,165,173";"0,24,21,15"
"PANTONE";"500 C";"#C6858F";"198,133,143";"0,33,28,22"
"PANTONE";"499 C";"#7A3E3A";"122,62,58";"0,49,52,52"
"PANTONE";"498 C";"#6A3735";"106,55,53";"0,48,50,58"
"PANTONE";"497 C";"#512F2E";"81,47,46";"0,42,43,68"
"PANTONE";"5035 C";"#DFC2C3";"223,194,195";"0,13,13,13"
"PANTONE";"5025 C";"#DBB7BB";"219,183,187";"0,16,15,14"
"PANTONE";"5015 C";"#CCA1A6";"204,161,166";"0,21,19,20"
"PANTONE";"5005 C";"#B07C83";"176,124,131";"0,30,26,31"
"PANTONE";"4995 C";"#9C6169";"156,97,105";"0,38,33,39"
"PANTONE";"4985 C";"#874B52";"135,75,82";"0,44,39,47"
"PANTONE";"4975 C";"#3F2021";"63,32,33";"0,49,48,75"
"PANTONE";"236 C";"#F1A7DC";"241,167,220";"0,31,9,5"
"PANTONE";"237 C";"#EC86D0";"236,134,208";"0,43,12,7"
"PANTONE";"238 C";"#E45DBF";"228,93,191";"0,59,16,11"
"PANTONE";"239 C";"#DB3EB1";"219,62,177";"0,72,19,14"
"PANTONE";"240 C";"#C5299B";"197,41,155";"0,79,21,23"
"PANTONE";"241 C";"#AF1685";"175,22,133";"0,87,24,31"
"PANTONE";"242 C";"#80225F";"128,34,95";"0,73,26,50"
"PANTONE";"2365 C";"#EFBAE1";"239,186,225";"0,22,6,6"
"PANTONE";"2375 C";"#E277CD";"226,119,205";"0,47,9,11"
"PANTONE";"2385 C";"#D539B5";"213,57,181";"0,73,15,16"
"PANTONE";"2395 C";"#C800A1";"200,0,161";"0,100,20,22"
"PANTONE";"2405 C";"#B0008E";"176,0,142";"0,100,19,31"
"PANTONE";"2415 C";"#9E007E";"158,0,126";"0,100,20,38"
"PANTONE";"2425 C";"#830065";"131,0,101";"0,100,23,49"
"PANTONE";"243 C";"#EAB8E4";"234,184,228";"0,21,3,8"
"PANTONE";"244 C";"#E59BDC";"229,155,220";"0,32,4,10"
"PANTONE";"245 C";"#DD7FD3";"221,127,211";"0,43,5,13"
"PANTONE";"246 C";"#C724B1";"199,36,177";"0,82,11,22"
"PANTONE";"247 C";"#BB16A3";"187,22,163";"0,88,13,27"
"PANTONE";"248 C";"#A51890";"165,24,144";"0,85,13,35"
"PANTONE";"249 C";"#80286C";"128,40,108";"0,69,16,50"
"PANTONE";"7646 C";"#A56E87";"165,110,135";"0,33,18,35"
"PANTONE";"7647 C";"#A83D72";"168,61,114";"0,64,32,34"
"PANTONE";"7648 C";"#991E66";"153,30,102";"0,80,33,40"
"PANTONE";"7649 C";"#8A1B61";"138,27,97";"0,80,30,46"
"PANTONE";"7650 C";"#722257";"114,34,87";"0,70,24,55"
"PANTONE";"7651 C";"#6A2A5B";"106,42,91";"0,60,14,58"
"PANTONE";"7652 C";"#5E2751";"94,39,81";"0,59,14,63"
"PANTONE";"250 C";"#E7BAE4";"231,186,228";"0,19,1,9"
"PANTONE";"251 C";"#DD9CDF";"221,156,223";"1,30,0,13"
"PANTONE";"252 C";"#C964CF";"201,100,207";"3,52,0,19"
"PANTONE";"253 C";"#AD1AAC";"173,26,172";"0,85,1,32"
"PANTONE";"254 C";"#981E97";"152,30,151";"0,80,1,40"
"PANTONE";"255 C";"#72246C";"114,36,108";"0,68,5,55"
"PANTONE";"517 C";"#EBC6DF";"235,198,223";"0,16,5,8"
"PANTONE";"516 C";"#E6BEDD";"230,190,221";"0,17,4,10"
"PANTONE";"515 C";"#E2ACD7";"226,172,215";"0,24,5,11"
"PANTONE";"514 C";"#D48BC8";"212,139,200";"0,34,6,17"
"PANTONE";"513 C";"#93328E";"147,50,142";"0,66,3,42"
"PANTONE";"512 C";"#833177";"131,49,119";"0,63,9,49"
"PANTONE";"511 C";"#612C51";"97,44,81";"0,55,16,62"
"PANTONE";"7653 C";"#948794";"148,135,148";"0,9,0,42"
"PANTONE";"7654 C";"#A2789C";"162,120,156";"0,26,4,36"
"PANTONE";"7655 C";"#A15A95";"161,90,149";"0,44,7,37"
"PANTONE";"7656 C";"#8E3A80";"142,58,128";"0,59,10,44"
"PANTONE";"7657 C";"#6E2B62";"110,43,98";"0,61,11,57"
"PANTONE";"7658 C";"#6A3460";"106,52,96";"0,51,9,58"
"PANTONE";"7659 C";"#5D3754";"93,55,84";"0,41,10,64"
"PANTONE";"5175 C";"#D8C8D1";"216,200,209";"0,7,3,15"
"PANTONE";"5165 C";"#D3C0CD";"211,192,205";"0,9,3,17"
"PANTONE";"5155 C";"#BFA5B8";"191,165,184";"0,14,4,25"
"PANTONE";"5145 C";"#9B7793";"155,119,147";"0,23,5,39"
"PANTONE";"5135 C";"#7E5475";"126,84,117";"0,33,7,51"
"PANTONE";"5125 C";"#693C5E";"105,60,94";"0,43,10,59"
"PANTONE";"5115 C";"#512A44";"81,42,68";"0,48,16,68"
"PANTONE";"5245 C";"#DBCDD3";"219,205,211";"0,6,4,14"
"PANTONE";"5235 C";"#D0BEC7";"208,190,199";"0,9,4,18"
"PANTONE";"5225 C";"#C6B0BC";"198,176,188";"0,11,5,22"
"PANTONE";"5215 C";"#AF95A6";"175,149,166";"0,15,5,31"
"PANTONE";"5205 C";"#86647A";"134,100,122";"0,25,9,47"
"PANTONE";"5195 C";"#66435A";"102,67,90";"0,34,12,60"
"PANTONE";"5185 C";"#4A3041";"74,48,65";"0,35,12,71"
"PANTONE";"524 C";"#D5C2D8";"213,194,216";"1,10,0,15"
"PANTONE";"523 C";"#C9B1D0";"201,177,208";"3,15,0,18"
"PANTONE";"522 C";"#BA9CC5";"186,156,197";"6,21,0,23"
"PANTONE";"521 C";"#A57FB2";"165,127,178";"7,29,0,30"
"PANTONE";"520 C";"#642F6C";"100,47,108";"7,56,0,58"
"PANTONE";"519 C";"#59315F";"89,49,95";"6,48,0,63"
"PANTONE";"518 C";"#4B3048";"75,48,72";"0,36,4,71"
"PANTONE";"7436 C";"#EEDAEA";"238,218,234";"0,8,2,7"
"PANTONE";"7437 C";"#CCAED0";"204,174,208";"2,16,0,18"
"PANTONE";"7438 C";"#D59ED7";"213,158,215";"1,27,0,16"
"PANTONE";"7439 C";"#B288B9";"178,136,185";"4,26,0,27"
"PANTONE";"7440 C";"#A277A6";"162,119,166";"2,28,0,35"
"PANTONE";"7441 C";"#9F5CC0";"159,92,192";"17,52,0,25"
"PANTONE";"7442 C";"#963CBD";"150,60,189";"21,68,0,26"
"PANTONE";"2562 C";"#D7A9E3";"215,169,227";"5,26,0,11"
"PANTONE";"2572 C";"#C98BDB";"201,139,219";"8,37,0,14"
"PANTONE";"2582 C";"#AC4FC6";"172,79,198";"13,60,0,22"
"PANTONE";"2592 C";"#9B26B6";"155,38,182";"15,79,0,29"
"PANTONE";"2602 C";"#87189D";"135,24,157";"14,85,0,38"
"PANTONE";"2612 C";"#772583";"119,37,131";"9,72,0,49"
"PANTONE";"2622 C";"#653165";"101,49,101";"0,51,0,60"
"PANTONE";"531 C";"#DFC8E7";"223,200,231";"3,13,0,9"
"PANTONE";"530 C";"#D7B9E4";"215,185,228";"6,19,0,11"
"PANTONE";"529 C";"#CAA2DD";"202,162,221";"9,27,0,13"
"PANTONE";"528 C";"#B580D1";"181,128,209";"13,39,0,18"
"PANTONE";"527 C";"#8031A7";"128,49,167";"23,71,0,35"
"PANTONE";"526 C";"#702F8A";"112,47,138";"19,66,0,46"
"PANTONE";"525 C";"#572C5F";"87,44,95";"8,54,0,63"
"PANTONE";"256 C";"#D6BFDD";"214,191,221";"3,14,0,13"
"PANTONE";"257 C";"#C6A1CF";"198,161,207";"4,22,0,19"
"PANTONE";"258 C";"#8C4799";"140,71,153";"8,54,0,40"
"PANTONE";"259 C";"#6D2077";"109,32,119";"8,73,0,53"
"PANTONE";"260 C";"#642667";"100,38,103";"3,63,0,60"
"PANTONE";"261 C";"#5D295F";"93,41,95";"2,57,0,63"
"PANTONE";"262 C";"#51284F";"81,40,79";"0,51,2,68"
"PANTONE";"2563 C";"#CBA3D8";"203,163,216";"6,25,0,15"
"PANTONE";"2573 C";"#B884CB";"184,132,203";"9,35,0,20"
"PANTONE";"2583 C";"#A05EB5";"160,94,181";"12,48,0,29"
"PANTONE";"2593 C";"#84329B";"132,50,155";"15,68,0,39"
"PANTONE";"2603 C";"#702082";"112,32,130";"14,75,0,49"
"PANTONE";"2613 C";"#671E75";"103,30,117";"12,74,0,54"
"PANTONE";"2623 C";"#5F2167";"95,33,103";"8,68,0,60"
"PANTONE";"7660 C";"#9991A4";"153,145,164";"7,12,0,36"
"PANTONE";"7661 C";"#8D6E97";"141,110,151";"7,27,0,41"
"PANTONE";"7662 C";"#7A4282";"122,66,130";"6,49,0,49"
"PANTONE";"7663 C";"#6B3077";"107,48,119";"10,60,0,53"
"PANTONE";"7664 C";"#653379";"101,51,121";"17,58,0,53"
"PANTONE";"7665 C";"#5E366E";"94,54,110";"15,51,0,57"
"PANTONE";"7666 C";"#5C4E63";"92,78,99";"7,21,0,61"
"PANTONE";"2567 C";"#C1A0DA";"193,160,218";"11,27,0,15"
"PANTONE";"2577 C";"#A77BCA";"167,123,202";"17,39,0,21"
"PANTONE";"2587 C";"#8246AF";"130,70,175";"26,60,0,31"
"PANTONE";"2597 C";"#5C068C";"92,6,140";"34,96,0,45"
"PANTONE";"2607 C";"#500878";"80,8,120";"33,93,0,53"
"PANTONE";"2617 C";"#470A68";"71,10,104";"32,90,0,59"
"PANTONE";"2627 C";"#3C1053";"60,16,83";"28,81,0,67"
"PANTONE";"263 C";"#D7C6E6";"215,198,230";"7,14,0,10"
"PANTONE";"264 C";"#C1A7E2";"193,167,226";"15,26,0,11"
"PANTONE";"265 C";"#9063CD";"144,99,205";"30,52,0,20"
"PANTONE";"266 C";"#753BBD";"117,59,189";"38,69,0,26"
"PANTONE";"267 C";"#5F249F";"95,36,159";"40,77,0,38"
"PANTONE";"268 C";"#582C83";"88,44,131";"33,66,0,49"
"PANTONE";"269 C";"#512D6D";"81,45,109";"26,59,0,57"
"PANTONE";"2635 C";"#C5B4E3";"197,180,227";"13,21,0,11"
"PANTONE";"2645 C";"#AD96DC";"173,150,220";"21,32,0,14"
"PANTONE";"2655 C";"#9678D3";"150,120,211";"29,43,0,17"
"PANTONE";"2665 C";"#7D55C7";"125,85,199";"37,57,0,22"
"PANTONE";"2685 C";"#330072";"51,0,114";"55,100,0,55"
"PANTONE";"2695 C";"#2E1A47";"46,26,71";"35,63,0,72"
"PANTONE";"270 C";"#B4B5DF";"180,181,223";"19,19,0,13"
"PANTONE";"271 C";"#9595D2";"149,149,210";"29,29,0,18"
"PANTONE";"272 C";"#7474C1";"116,116,193";"40,40,0,24"
"PANTONE";"273 C";"#24125F";"36,18,95";"62,81,0,63"
"PANTONE";"274 C";"#221551";"34,21,81";"58,74,0,68"
"PANTONE";"275 C";"#211747";"33,23,71";"54,68,0,72"
"PANTONE";"276 C";"#221C35";"34,28,53";"36,47,0,79"
"PANTONE";"2705 C";"#A7A4E0";"167,164,224";"25,27,0,12"
"PANTONE";"2715 C";"#8B84D7";"139,132,215";"35,39,0,16"
"PANTONE";"2725 C";"#685BC7";"104,91,199";"48,54,0,22"
"PANTONE";"2735 C";"#2E008B";"46,0,139";"67,100,0,45"
"PANTONE";"2745 C";"#280071";"40,0,113";"65,100,0,56"
"PANTONE";"2755 C";"#250E62";"37,14,98";"62,86,0,62"
"PANTONE";"2765 C";"#201547";"32,21,71";"55,70,0,72"
"PANTONE";"7667 C";"#6E7CA0";"110,124,160";"31,22,0,37"
"PANTONE";"7668 C";"#676E9F";"103,110,159";"35,31,0,38"
"PANTONE";"7669 C";"#615E9B";"97,94,155";"37,39,0,39"
"PANTONE";"7670 C";"#565294";"86,82,148";"42,45,0,42"
"PANTONE";"7671 C";"#514689";"81,70,137";"41,49,0,46"
"PANTONE";"7672 C";"#4C4084";"76,64,132";"42,52,0,48"
"PANTONE";"7673 C";"#535486";"83,84,134";"38,37,0,47"
"PANTONE";"7443 C";"#DDDAE8";"221,218,232";"5,6,0,9"
"PANTONE";"7444 C";"#B6B8DC";"182,184,220";"17,16,0,14"
"PANTONE";"7445 C";"#A7A2C3";"167,162,195";"14,17,0,24"
"PANTONE";"7446 C";"#8986CA";"137,134,202";"32,34,0,21"
"PANTONE";"7447 C";"#5D4777";"93,71,119";"22,40,0,53"
"PANTONE";"7448 C";"#4B384C";"75,56,76";"1,26,0,70"
"PANTONE";"7449 C";"#41273B";"65,39,59";"0,40,9,75"
"PANTONE";"7674 C";"#878CB4";"135,140,180";"25,22,0,29"
"PANTONE";"7675 C";"#7C7FAB";"124,127,171";"27,26,0,33"
"PANTONE";"7676 C";"#7566A0";"117,102,160";"27,36,0,37"
"PANTONE";"7677 C";"#6F5091";"111,80,145";"23,45,0,43"
"PANTONE";"7678 C";"#68478D";"104,71,141";"26,50,0,45"
"PANTONE";"7679 C";"#563D82";"86,61,130";"34,53,0,49"
"PANTONE";"7680 C";"#523178";"82,49,120";"32,59,0,53"
"PANTONE";"663 C";"#E5E1E6";"229,225,230";"0,2,0,10"
"PANTONE";"664 C";"#E0DBE3";"224,219,227";"1,4,0,11"
"PANTONE";"665 C";"#C6BCD0";"198,188,208";"5,10,0,18"
"PANTONE";"666 C";"#A192B2";"161,146,178";"10,18,0,30"
"PANTONE";"667 C";"#7C6992";"124,105,146";"15,28,0,43"
"PANTONE";"668 C";"#614B79";"97,75,121";"20,38,0,53"
"PANTONE";"669 C";"#3F2A56";"63,42,86";"27,51,0,66"
"PANTONE";"5315 C";"#D8D7DF";"216,215,223";"3,4,0,13"
"PANTONE";"5305 C";"#C6C4D2";"198,196,210";"6,7,0,18"
"PANTONE";"5295 C";"#B3B0C4";"179,176,196";"9,10,0,23"
"PANTONE";"5285 C";"#8D89A5";"141,137,165";"15,17,0,35"
"PANTONE";"5275 C";"#595478";"89,84,120";"26,30,0,53"
"PANTONE";"5265 C";"#403A60";"64,58,96";"33,40,0,62"
"PANTONE";"5255 C";"#1E1A34";"30,26,52";"42,50,0,80"
"PANTONE";"538 C";"#C5CFDA";"197,207,218";"10,5,0,15"
"PANTONE";"537 C";"#BBC7D6";"187,199,214";"13,7,0,16"
"PANTONE";"536 C";"#A2B2C8";"162,178,200";"19,11,0,22"
"PANTONE";"535 C";"#8E9FBC";"142,159,188";"24,15,0,26"
"PANTONE";"534 C";"#1B365D";"27,54,93";"71,42,0,64"
"PANTONE";"533 C";"#202A44";"32,42,68";"53,38,0,73"
"PANTONE";"532 C";"#1D1F2A";"29,31,42";"31,26,0,84"
"PANTONE";"7541 C";"#D9E1E2";"217,225,226";"4,0,0,11"
"PANTONE";"7542 C";"#A4BCC2";"164,188,194";"15,3,0,24"
"PANTONE";"7543 C";"#98A4AE";"152,164,174";"13,6,0,32"
"PANTONE";"7544 C";"#768692";"118,134,146";"19,8,0,43"
"PANTONE";"7545 C";"#425563";"66,85,99";"33,14,0,61"
"PANTONE";"7546 C";"#253746";"37,55,70";"47,21,0,73"
"PANTONE";"7547 C";"#131E29";"19,30,41";"54,27,0,84"
"PANTONE";"552 C";"#B9D3DC";"185,211,220";"16,4,0,14"
"PANTONE";"551 C";"#A3C7D2";"163,199,210";"22,5,0,18"
"PANTONE";"550 C";"#8DB9CA";"141,185,202";"30,8,0,21"
"PANTONE";"549 C";"#6BA4B8";"107,164,184";"42,11,0,28"
"PANTONE";"548 C";"#003D4C";"0,61,76";"100,20,0,70"
"PANTONE";"547 C";"#00313C";"0,49,60";"100,18,0,76"
"PANTONE";"546 C";"#072B31";"7,43,49";"86,12,0,81"
"PANTONE";"5455 C";"#BFCED6";"191,206,214";"11,4,0,16"
"PANTONE";"5445 C";"#B7C9D3";"183,201,211";"13,5,0,17"
"PANTONE";"5435 C";"#A6BBC8";"166,187,200";"17,7,0,22"
"PANTONE";"5425 C";"#7A99AC";"122,153,172";"29,11,0,33"
"PANTONE";"5415 C";"#5B7F95";"91,127,149";"39,15,0,42"
"PANTONE";"5405 C";"#4F758B";"79,117,139";"43,16,0,45"
"PANTONE";"5395 C";"#091F2C";"9,31,44";"80,30,0,83"
"PANTONE";"642 C";"#D1DDE6";"209,221,230";"9,4,0,10"
"PANTONE";"643 C";"#C6D6E3";"198,214,227";"13,6,0,11"
"PANTONE";"644 C";"#9BB8D3";"155,184,211";"27,13,0,17"
"PANTONE";"645 C";"#7DA1C4";"125,161,196";"36,18,0,23"
"PANTONE";"646 C";"#5E8AB4";"94,138,180";"48,23,0,29"
"PANTONE";"647 C";"#236192";"35,97,146";"76,34,0,43"
"PANTONE";"648 C";"#002E5D";"0,46,93";"100,51,0,64"
"PANTONE";"649 C";"#DBE2E9";"219,226,233";"6,3,0,9"
"PANTONE";"650 C";"#CED9E5";"206,217,229";"10,5,0,10"
"PANTONE";"651 C";"#A7BCD6";"167,188,214";"22,12,0,16"
"PANTONE";"652 C";"#7D9CC0";"125,156,192";"35,19,0,25"
"PANTONE";"653 C";"#326295";"50,98,149";"66,34,0,42"
"PANTONE";"654 C";"#003A70";"0,58,112";"100,48,0,56"
"PANTONE";"655 C";"#002554";"0,37,84";"100,56,0,67"
"PANTONE";"656 C";"#DDE5ED";"221,229,237";"7,3,0,7"
"PANTONE";"657 C";"#C8D8EB";"200,216,235";"15,8,0,8"
"PANTONE";"658 C";"#B1C9E8";"177,201,232";"24,13,0,9"
"PANTONE";"659 C";"#7BA4DB";"123,164,219";"44,25,0,14"
"PANTONE";"660 C";"#407EC9";"64,126,201";"68,37,0,21"
"PANTONE";"661 C";"#003594";"0,53,148";"100,64,0,42"
"PANTONE";"662 C";"#001A70";"0,26,112";"100,77,0,56"
"PANTONE";"7450 C";"#BDC5DB";"189,197,219";"14,10,0,14"
"PANTONE";"7451 C";"#89ABE3";"137,171,227";"40,25,0,11"
"PANTONE";"7452 C";"#8194DD";"129,148,221";"42,33,0,13"
"PANTONE";"7453 C";"#7CA6DE";"124,166,222";"44,25,0,13"
"PANTONE";"7454 C";"#5F8FB4";"95,143,180";"47,21,0,29"
"PANTONE";"7455 C";"#3A5DAE";"58,93,174";"67,47,0,32"
"PANTONE";"7456 C";"#606EB2";"96,110,178";"46,38,0,30"
"PANTONE";"2706 C";"#CBD3EA";"203,211,234";"13,10,0,8"
"PANTONE";"2716 C";"#9FAEE5";"159,174,229";"31,24,0,10"
"PANTONE";"2726 C";"#485CC7";"72,92,199";"64,54,0,22"
"PANTONE";"2736 C";"#1E22AA";"30,34,170";"82,80,0,33"
"PANTONE";"2746 C";"#171C8F";"23,28,143";"84,80,0,44"
"PANTONE";"2756 C";"#151F6D";"21,31,109";"81,72,0,57"
"PANTONE";"2766 C";"#141B4D";"20,27,77";"74,65,0,70"
"PANTONE";"2708 C";"#B8CCEA";"184,204,234";"21,13,0,8"
"PANTONE";"2718 C";"#5C88DA";"92,136,218";"58,38,0,15"
"PANTONE";"2728 C";"#0047BB";"0,71,187";"100,62,0,27"
"PANTONE";"2738 C";"#06038D";"6,3,141";"96,98,0,45"
"PANTONE";"2748 C";"#001871";"0,24,113";"100,79,0,56"
"PANTONE";"2758 C";"#001E62";"0,30,98";"100,69,0,62"
"PANTONE";"2768 C";"#071D49";"7,29,73";"90,60,0,71"
"PANTONE";"2707 C";"#C3D7EE";"195,215,238";"18,10,0,7"
"PANTONE";"2717 C";"#A7C6ED";"167,198,237";"30,16,0,7"
"PANTONE";"2727 C";"#307FE2";"48,127,226";"79,44,0,11"
"PANTONE";"2747 C";"#001A72";"0,26,114";"100,77,0,55"
"PANTONE";"2757 C";"#001E60";"0,30,96";"100,69,0,62"
"PANTONE";"2767 C";"#13294B";"19,41,75";"75,45,0,71"
"PANTONE";"277 C";"#ABCAE9";"171,202,233";"27,13,0,9"
"PANTONE";"278 C";"#8BB8E8";"139,184,232";"40,21,0,9"
"PANTONE";"279 C";"#418FDE";"65,143,222";"71,36,0,13"
"PANTONE";"280 C";"#012169";"1,33,105";"99,69,0,59"
"PANTONE";"281 C";"#00205B";"0,32,91";"100,65,0,64"
"PANTONE";"282 C";"#041E42";"4,30,66";"94,55,0,74"
"PANTONE";"283 C";"#92C1E9";"146,193,233";"37,17,0,9"
"PANTONE";"284 C";"#6CACE4";"108,172,228";"53,25,0,11"
"PANTONE";"285 C";"#0072CE";"0,114,206";"100,45,0,19"
"PANTONE";"286 C";"#0032A0";"0,50,160";"100,69,0,37"
"PANTONE";"287 C";"#003087";"0,48,135";"100,64,0,47"
"PANTONE";"288 C";"#002D72";"0,45,114";"100,61,0,55"
"PANTONE";"289 C";"#0C2340";"12,35,64";"81,45,0,75"
"PANTONE";"7681 C";"#94A9CB";"148,169,203";"27,17,0,20"
"PANTONE";"7682 C";"#6787B7";"103,135,183";"44,26,0,28"
"PANTONE";"7683 C";"#426DA9";"66,109,169";"61,36,0,34"
"PANTONE";"7684 C";"#385E9D";"56,94,157";"64,40,0,38"
"PANTONE";"7685 C";"#2C5697";"44,86,151";"71,43,0,41"
"PANTONE";"7686 C";"#1D4F91";"29,79,145";"80,46,0,43"
"PANTONE";"7687 C";"#1D4289";"29,66,137";"79,52,0,46"
"PANTONE";"545 C";"#C6DAE7";"198,218,231";"14,6,0,9"
"PANTONE";"544 C";"#BDD6E6";"189,214,230";"18,7,0,10"
"PANTONE";"543 C";"#A4C8E1";"164,200,225";"27,11,0,12"
"PANTONE";"542 C";"#7BAFD4";"123,175,212";"42,17,0,17"
"PANTONE";"541 C";"#003C71";"0,60,113";"100,47,0,56"
"PANTONE";"540 C";"#003057";"0,48,87";"100,45,0,66"
"PANTONE";"539 C";"#00263A";"0,38,58";"100,34,0,77"
"PANTONE";"290 C";"#B9D9EB";"185,217,235";"21,8,0,8"
"PANTONE";"291 C";"#9BCBEB";"155,203,235";"34,14,0,8"
"PANTONE";"292 C";"#69B3E7";"105,179,231";"55,23,0,9"
"PANTONE";"293 C";"#003DA5";"0,61,165";"100,63,0,35"
"PANTONE";"294 C";"#002F6C";"0,47,108";"100,56,0,58"
"PANTONE";"295 C";"#002855";"0,40,85";"100,53,0,67"
"PANTONE";"296 C";"#051C2C";"5,28,44";"89,36,0,83"
"PANTONE";"2905 C";"#8DC8E8";"141,200,232";"39,14,0,9"
"PANTONE";"2915 C";"#62B5E5";"98,181,229";"57,21,0,10"
"PANTONE";"2925 C";"#009CDE";"0,156,222";"100,30,0,13"
"PANTONE";"2935 C";"#0057B7";"0,87,183";"100,52,0,28"
"PANTONE";"2945 C";"#004C97";"0,76,151";"100,50,0,41"
"PANTONE";"2955 C";"#003865";"0,56,101";"100,45,0,60"
"PANTONE";"2965 C";"#00263E";"0,38,62";"100,39,0,76"
"PANTONE";"297 C";"#71C5E8";"113,197,232";"51,15,0,9"
"PANTONE";"298 C";"#41B6E6";"65,182,230";"72,21,0,10"
"PANTONE";"299 C";"#00A3E0";"0,163,224";"100,27,0,12"
