paleta;nome_cor;codigo_hexadecimal;codigo_rgb;codigo_cmyk
"PANTONE";"124 C";"#EAAA00";"234,170,0";"0,27,100,8"
"PANTONE";"125 C";"#B58500";"181,133,0";"0,27,100,29"
"PANTONE";"126 C";"#9A7611";"154,118,17";"0,23,89,40"
"PANTONE";"7548 C";"#FFC600";"255,198,0";"0,22,100,0"
"PANTONE";"7549 C";"#FFB600";"255,182,0";"0,29,100,0"
"PANTONE";"7550 C";"#D19000";"209,144,0";"0,31,100,18"
"PANTONE";"7551 C";"#B47E00";"180,126,0";"0,30,100,29"
"PANTONE";"7552 C";"#73531D";"115,83,29";"0,28,75,55"
"PANTONE";"7553 C";"#5A4522";"90,69,34";"0,23,62,65"
"PANTONE";"7554 C";"#4B3D2A";"75,61,42";"0,19,44,71"
"PANTONE";"7555 C";"#D29F13";"210,159,19";"0,24,91,18"
"PANTONE";"7556 C";"#B78B20";"183,139,32";"0,24,83,28"
"PANTONE";"7557 C";"#9F7D23";"159,125,35";"0,21,78,38"
"PANTONE";"7558 C";"#967126";"150,113,38";"0,25,75,41"
"PANTONE";"7559 C";"#8F6A2A";"143,106,42";"0,26,71,44"
"PANTONE";"7560 C";"#7D622E";"125,98,46";"0,22,63,51"
"PANTONE";"7561 C";"#6C5D34";"108,93,52";"0,14,52,58"
"PANTONE";"134 C";"#FDD26E";"253,210,110";"0,17,57,1"
"PANTONE";"135 C";"#FFC658";"255,198,88";"0,22,65,0"
"PANTONE";"136 C";"#FFBF3F";"255,191,63";"0,25,75,0"
"PANTONE";"137 C";"#FFA400";"255,164,0";"0,36,100,0"
"PANTONE";"138 C";"#DE7C00";"222,124,0";"0,44,100,13"
"PANTONE";"139 C";"#AF6D04";"175,109,4";"0,38,98,31"
"PANTONE";"140 C";"#74531C";"116,83,28";"0,28,76,55"
"PANTONE";"1345 C";"#FDD086";"253,208,134";"0,18,47,1"
"PANTONE";"1355 C";"#FFC56E";"255,197,110";"0,23,57,0"
"PANTONE";"1365 C";"#FFB549";"255,181,73";"0,29,71,0"
"PANTONE";"1375 C";"#FF9E1B";"255,158,27";"0,38,89,0"
"PANTONE";"1385 C";"#D57800";"213,120,0";"0,44,100,16"
"PANTONE";"1395 C";"#996017";"153,96,23";"0,37,85,40"
"PANTONE";"1405 C";"#6E4C1E";"110,76,30";"0,31,73,57"
"PANTONE";"141 C";"#F2C75C";"242,199,92";"0,18,62,5"
"PANTONE";"142 C";"#F1BE48";"241,190,72";"0,21,70,5"
"PANTONE";"143 C";"#F1B434";"241,180,52";"0,25,78,5"
"PANTONE";"144 C";"#ED8B00";"237,139,0";"0,41,100,7"
"PANTONE";"145 C";"#CF7F00";"207,127,0";"0,39,100,19"
"PANTONE";"146 C";"#A76D11";"167,109,17";"0,35,90,35"
"PANTONE";"147 C";"#715C2A";"113,92,42";"0,19,63,56"
"PANTONE";"7408 C";"#F6BE00";"246,190,0";"0,23,100,4"
"PANTONE";"7409 C";"#F0B323";"240,179,35";"0,25,85,6"
"PANTONE";"7410 C";"#FEAD77";"254,173,119";"0,32,53,0"
"PANTONE";"7411 C";"#E6A65D";"230,166,93";"0,28,60,10"
"PANTONE";"7412 C";"#D38235";"211,130,53";"0,38,75,17"
"PANTONE";"7413 C";"#DC8633";"220,134,51";"0,39,77,14"
"PANTONE";"7414 C";"#C16C18";"193,108,24";"0,44,88,24"
